anonymous_id,total_gold,stack_1,stack_2,stack_3,stack_4,stack_5,stack_6,stack_7,stack_8,stack_9
e2845c34-69be-404d-a758-64658256d90d,4106,6,9,115,133,163,211,337,13,13
1b540a69-0550-4859-848e-eeef246e9c47,4100,31,32,32,152,182,222,265,42,42
9435e198-5c92-4c28-b3a1-67c8e2bd5abf,4091,7,13,22,22,52,156,336,338,54
b70f5a44-eb03-4c42-b606-7a346473f188,4071,41,21,62,172,162,192,11,307,32
8ccac498-afa1-4e03-8782-b739da54aac4,4061,36,67,82,141,24,252,304,48,46
878a2098-e1da-4fed-af5e-98f59b47807a,4042,22,52,82,132,12,272,342,62,24
d2c8dba3-e27b-401f-938e-5d1aaefcaef3,4026,2,21,31,131,161,181,221,201,51
68f4b512-89f9-48b1-926f-2e9aedc507b0,4014,11,11,11,11,157,209,263,316,11
a5b9bbbe-8906-4f6f-97e4-7568a963ae75,4007,0,60,70,120,120,210,30,320,70
6a371df6-03d8-4204-9ecc-e2aa12a25bda,3988,10,20,30,40,50,225,275,325,25
032b3b0c-f8ce-4124-9574-7c554ef480c0,3985,23,64,35,58,176,178,29,314,123
e26b229a-810a-4f9c-ba24-30433862b2b3,3981,11,64,56,22,191,161,230,188,77
2b9297e5-150e-4046-824f-b6f289a32521,3962,25,72,120,4,200,240,8,320,11
9df0923a-2146-4700-bbd6-17706b9eca72,3955,11,11,11,11,12,301,301,301,41
73e87263-70ae-4aba-9ecf-e276b1cdd07a,3949,6,5,6,6,7,265,374,305,26
dfcca944-f2da-4e66-ae16-b7522a65669a,3940,4,7,27,57,107,157,267,267,107
b642d8a4-4b97-4cbc-97e8-73c585893757,3936,6,36,35,106,139,74,236,340,28
054dd03c-ba88-4f69-8697-17facd807095,3930,26,59,19,36,141,169,200,335,15
d7a7fdec-f17e-4195-8331-f61592bb5e85,3925,21,21,21,21,21,290,305,150,150
599b642a-1718-4514-ae29-2445a727aeb0,3919,7,13,17,65,112,203,257,313,13
fe5e976a-2adf-428b-a5a1-1d7aea37c4eb,3911,39,36,80,128,158,208,1,9,341
