name,elo
Jigglybluff,2045
AAAKJ,1939
PotHotBot,1925
Daniel Negreanu,1917
SWEET BUT SALTY,1903
AlphaOne,1888
maybenot,1812
AlphaFish,1806
Jeff Lynne,1801
my bad,1795
fleabitten,1744
Diamond Dogs,1667
YEE,1652
Boners '22,1650
pls STOP we BROKE,1643
GoKinCobra,1619
Third Mid,1615
preflop all in,1614
Army Leggy,1613
21,1612
andrew's bots,1610
Team Name,1591
Icy,1587
Bananarchist,1571
kaonashi,1569
<^-^>,1560
PokerBrots,1559
:),1551
testing,1550
 DevilMayCry,1514
BadBeatBot,1507
IeetChips,1504
CC Star,1468
Flush Boys,1461
Queens Club,1450
TeamRocket,1445
BluffBot,1441
B),1440
AP,1431
No One,1375
player1,1303
¡WHAM!,1285
Kappa Sigma C Team,1264
Power JEM ,1230
A.L.O.E.,1200
testing123,1183
Blind Plays,1176
Heffalump Rangers,1173
yeet,1141
Jesus Christ,1068
ChocolateWarriors,1047
LadyMooseLizardPhi,1023
pkr face,1007
Hurrikeynes,456
