team_a_name,team_a_score,team_b_name,team_b_score,winner
Flush Boys,1329,reference_random,-1329,Flush Boys
Kappa Sigma C Team,1193,reference_random,-1193,Kappa Sigma C Team
TeamRocket,753,player1,-753,TeamRocket
SWEET BUT SALTY,93,TeamRocket,-93,SWEET BUT SALTY
TeamRocket,-235,:),235,:)
AP,-113,Blind Plays,113,Blind Plays
Bananarchist,1055,reference_random,-1055,Bananarchist
reference_random,-1056,Boners '22,1056,Boners '22
reference_random,-624,:),624,:)
Daniel Negreanu,342,TeamRocket,-342,Daniel Negreanu
LadyMooseLizardPhi,-873,IeetChips,873,IeetChips
AP,-73,PotHotBot,73,PotHotBot
Third Mid,986,player1,-986,Third Mid
21,1500,player1,-1500,21
reference_lecture_1,-1216,Jeff Lynne,1216,Jeff Lynne
Blind Plays,615,reference_random,-615,Blind Plays
reference_random,-929,Blind Plays,929,Blind Plays
Kappa Sigma C Team,-497,Bananarchist,497,Bananarchist
yeet,-353,LadyMooseLizardPhi,353,LadyMooseLizardPhi
BluffBot,266,TeamRocket,-266,BluffBot
TeamRocket,-3681,pkr face,3681,pkr face
Jeff Lynne,1523,reference_random,-1523,Jeff Lynne
reference_checkcall,-1032,LadyMooseLizardPhi,1032,LadyMooseLizardPhi
Kappa Sigma C Team,-1477,maybenot,1477,maybenot
fleabitten,75,AP,-75,fleabitten
B),1092,AP,-1092,B)
Jigglybluff,864,Kappa Sigma C Team,-864,Jigglybluff
TeamRocket,-73,Team Name,73,Team Name
LadyMooseLizardPhi,-1078,IeetChips,1078,IeetChips
reference_lecture_1,-815,fleabitten,815,fleabitten
YEE,780,Kappa Sigma C Team,-780,YEE
LadyMooseLizardPhi,-195,Bananarchist,195,Bananarchist
Daniel Negreanu,835,Kappa Sigma C Team,-835,Daniel Negreanu
AlphaFish,-355,Jeff Lynne,355,Jeff Lynne
reference_lecture_1,855,player1,-855,reference_lecture_1
¡WHAM!,-584,Jeff Lynne,584,Jeff Lynne
Diamond Dogs,896,reference_checkcall,-896,Diamond Dogs
reference_lecture_1,-957,kaonashi,957,kaonashi
Blind Plays,504,Kappa Sigma C Team,-504,Blind Plays
pls STOP we BROKE,330,TeamRocket,-330,pls STOP we BROKE
reference_random,-1749,Team Name,1749,Team Name
SWEET BUT SALTY,814,player1,-814,SWEET BUT SALTY
my bad,5334,TeamRocket,-5334,my bad
yeet,580,Kappa Sigma C Team,-580,yeet
Army Leggy,2441,player1,-2441,Army Leggy
BluffBot,373,fleabitten,-373,BluffBot
kaonashi,928,reference_checkcall,-928,kaonashi
TeamRocket,1119,reference_lecture_1,-1119,TeamRocket
AlphaFish,-342,LadyMooseLizardPhi,342,LadyMooseLizardPhi
IeetChips,-108,YEE,108,YEE
yeet,194,LadyMooseLizardPhi,-194,yeet
YEE,515,AlphaFish,-515,YEE
fleabitten,64,B),-64,fleabitten
Daniel Negreanu,39,Blind Plays,-39,Daniel Negreanu
Jigglybluff,761,Power JEM ,-761,Jigglybluff
BluffBot,-521,LadyMooseLizardPhi,521,LadyMooseLizardPhi
B),-53,pls STOP we BROKE,53,pls STOP we BROKE
LadyMooseLizardPhi,544,Team Name,-544,LadyMooseLizardPhi
Icy,-267,SWEET BUT SALTY,267,SWEET BUT SALTY
AlphaFish,38529,reference_random,-38529,AlphaFish
Bananarchist,-74,AAAKJ,74,AAAKJ
Daniel Negreanu,508,Heffalump Rangers,-508,Daniel Negreanu
¡WHAM!,-444,fleabitten,444,fleabitten
player1,-1010,Diamond Dogs,1010,Diamond Dogs
Bananarchist,-11,:),11,:)
PotHotBot,645,player1,-645,PotHotBot
reference_random,-823,IeetChips,823,IeetChips
B),-261,kaonashi,261,kaonashi
Icy,-404,:),404,:)
Jeff Lynne,45,B),-45,Jeff Lynne
AP,250,preflop all in,-250,AP
fleabitten,150,kaonashi,-150,fleabitten
reference_checkcall,723,player1,-723,reference_checkcall
BluffBot,-47,LadyMooseLizardPhi,47,LadyMooseLizardPhi
yeet,-260,Jeff Lynne,260,Jeff Lynne
¡WHAM!,-439,kaonashi,439,kaonashi
pkr face,1558,Kappa Sigma C Team,-1558,pkr face
fleabitten,91,testing,-91,fleabitten
reference_lecture_1,-877,maybenot,877,maybenot
AAAKJ,201,pkr face,-201,AAAKJ
AlphaFish,-262,LadyMooseLizardPhi,262,LadyMooseLizardPhi
kaonashi,271,Heffalump Rangers,-271,kaonashi
AAAKJ,587,AlphaFish,-587,AAAKJ
Boners '22,895,reference_lecture_1,-895,Boners '22
Kappa Sigma C Team,-2489,<^-^>,2489,<^-^>
reference_checkcall,-914,YEE,914,YEE
Bananarchist,586,Queens Club,-586,Bananarchist
YEE,925,reference_checkcall,-925,YEE
reference_checkcall,-1056,TeamRocket,1056,TeamRocket
¡WHAM!,57,Jigglybluff,-57,¡WHAM!
YEE,880,reference_lecture_1,-880,YEE
Third Mid,713,AP,-713,Third Mid
reference_random,-12207,Army Leggy,12207,Army Leggy
Bananarchist,243,Jeff Lynne,-243,Bananarchist
AP,-750,Bananarchist,750,Bananarchist
LadyMooseLizardPhi,-77,:),77,:)
Icy,-282,Bananarchist,282,Bananarchist
Boners '22,-90,¡WHAM!,90,¡WHAM!
fleabitten,184,Diamond Dogs,-184,fleabitten
SWEET BUT SALTY,582,AlphaFish,-582,SWEET BUT SALTY
21,-211,:),211,:)
reference_staff,-113,LadyMooseLizardPhi,113,LadyMooseLizardPhi
IeetChips,-39,Jeff Lynne,39,Jeff Lynne
¡WHAM!,239,reference_staff,-239,¡WHAM!
AAAKJ,788,reference_checkcall,-788,AAAKJ
testing,-426,kaonashi,426,kaonashi
Bananarchist,719,Power JEM ,-719,Bananarchist
maybenot,605,preflop all in,-605,maybenot
CC Star,3724,Blind Plays,-3724,CC Star
YEE,298,pls STOP we BROKE,-298,YEE
Boners '22,148,CC Star,-148,Boners '22
AlphaFish,-285,Third Mid,285,Third Mid
player1,-13288,Power JEM ,13288,Power JEM 
fleabitten,130,Daniel Negreanu,-130,fleabitten
SWEET BUT SALTY,308,CC Star,-308,SWEET BUT SALTY
21,-2424,B),2424,B)
preflop all in,869,yeet,-869,preflop all in
BluffBot,-416,Jigglybluff,416,Jigglybluff
Boners '22,-125,maybenot,125,maybenot
Boners '22,202,<^-^>,-202,Boners '22
player1,-2810,<^-^>,2810,<^-^>
IeetChips,144,Bananarchist,-144,IeetChips
Icy,30950,reference_random,-30950,Icy
AlphaFish,-651,PotHotBot,651,PotHotBot
fleabitten,305,Power JEM ,-305,fleabitten
preflop all in,1099,:),-1099,preflop all in
Flush Boys,303,Queens Club,-303,Flush Boys
AP,-700,kaonashi,700,kaonashi
AlphaOne,278,yeet,-278,AlphaOne
preflop all in,-827,Third Mid,827,Third Mid
Bananarchist,-390,Jeff Lynne,390,Jeff Lynne
:),103,AlphaFish,-103,:)
BluffBot,-46,Army Leggy,46,Army Leggy
reference_staff,-261,Jigglybluff,261,Jigglybluff
AlphaFish,1289,Flush Boys,-1289,AlphaFish
Icy,-378,¡WHAM!,378,¡WHAM!
SWEET BUT SALTY,490,Kappa Sigma C Team,-490,SWEET BUT SALTY
reference_random,-898,Boners '22,898,Boners '22
LadyMooseLizardPhi,1063,Kappa Sigma C Team,-1063,LadyMooseLizardPhi
yeet,1296,Kappa Sigma C Team,-1296,yeet
Third Mid,724,AP,-724,Third Mid
pkr face,-131,Jeff Lynne,131,Jeff Lynne
Power JEM ,-476,Daniel Negreanu,476,Daniel Negreanu
kaonashi,-420,Jigglybluff,420,Jigglybluff
Jigglybluff,488,reference_staff,-488,Jigglybluff
fleabitten,239,CC Star,-239,fleabitten
Jeff Lynne,-39,Flush Boys,39,Flush Boys
:),453,Kappa Sigma C Team,-453,:)
Heffalump Rangers,-185,Jigglybluff,185,Jigglybluff
Jeff Lynne,238,CC Star,-238,Jeff Lynne
kaonashi,-380,fleabitten,380,fleabitten
andrew's bots,1970,player1,-1970,andrew's bots
pls STOP we BROKE,157,21,-157,pls STOP we BROKE
