name,elo
Jigglybluff,2041
SWEET BUT SALTY,2021
PotHotBot,1994
AAAKJ,1976
fleabitten,1948
my bad,1892
Jeff Lynne,1886
maybenot,1852
preflop all in,1756
AlphaOne,1741
YEE,1723
kaonashi,1709
BadBeatBot,1702
¡WHAM!,1694
GoKinCobra,1686
Bananarchist,1683
pls STOP we BROKE,1680
andrew's bots,1680
Boners '22,1673
Third Mid,1671
Army Leggy,1665
21,1653
Daniel Negreanu,1646
Icy,1616
testing,1586
reference_lecture_2,1586
pkr face,1585
<^-^>,1585
PokerBrots,1583
reference_staff,1576
AlphaFish,1556
Diamond Dogs,1490
CC Star,1473
Flush Boys,1472
Team Name,1466
Queens Club,1459
LadyMooseLizardPhi,1446
:),1422
TeamRocket,1419
B),1416
A.L.O.E.,1376
Kappa Sigma C Team,1286
IeetChips,1284
player1,1270
BluffBot,1251
Power JEM ,1227
yeet,1178
Blind Plays,1169
Heffalump Rangers,1160
No One,1011
ChocolateWarriors,965
reference_checkcall,943
reference_lecture_1,925
AP,794
Hurrikeynes,759
reference_random,694
