name,elo
Jigglybluff,2164
SWEET BUT SALTY,2027
PotHotBot,1957
fleabitten,1936
AAAKJ,1927
Jeff Lynne,1908
AlphaOne,1900
my bad,1896
maybenot,1854
preflop all in,1752
YEE,1720
andrew's bots,1717
BadBeatBot,1699
¡WHAM!,1673
kaonashi,1666
pls STOP we BROKE,1666
GoKinCobra,1663
Bananarchist,1660
Boners '22,1650
Third Mid,1649
21,1648
Army Leggy,1644
Daniel Negreanu,1623
Icy,1598
AlphaFish,1588
reference_lecture_2,1573
testing,1569
PokerBrots,1568
pkr face,1566
reference_staff,1566
Team Name,1563
Heffalump Rangers,1558
<^-^>,1558
Diamond Dogs,1478
Flush Boys,1463
CC Star,1449
Queens Club,1433
LadyMooseLizardPhi,1430
A.L.O.E.,1411
B),1410
TeamRocket,1405
:),1391
IeetChips,1289
Kappa Sigma C Team,1245
BluffBot,1227
player1,1223
Power JEM ,1205
Blind Plays,1152
yeet,1141
ChocolateWarriors,988
No One,977
reference_checkcall,903
reference_lecture_1,894
AP,773
Hurrikeynes,724
reference_random,684
